data,novos_casos,novos_obitos,novos_testes,casos_acumulados,obitos_acumulados
15/04/20,1,0,2,,
16/04/20,0,0,0,,
17/04/20,0,0,0,,
18/04/20,1,0,2,,
19/04/20,0,1,0,,
20/04/20,0,0,1,,
21/04/20,0,0,1,,
22/04/20,0,0,0,,
23/04/20,0,0,0,,
24/04/20,0,0,0,,
25/04/20,4,0,7,,
26/04/20,1,0,1,,
27/04/20,4,0,4,,
28/04/20,11,0,16,,
29/04/20,2,0,2,,
30/04/20,3,0,3,,
01/05/20,0,0,0,,
02/05/20,0,0,0,,
03/05/20,0,0,1,,
04/05/20,3,0,3,,
05/05/20,2,0,2,,
06/05/20,7,0,7,,
07/05/20,1,0,1,,
08/05/20,11,2,11,,
09/05/20,6,0,6,,
10/05/20,2,1,2,,
11/05/20,9,1,9,,
12/05/20,8,0,8,,
13/05/20,9,0,9,,
14/05/20,13,0,13,,
15/05/20,6,0,6,,
16/05/20,3,0,,,
17/05/20,0,0,,,
18/05/20,0,0,,,
19/05/20,15,0,,,
20/05/20,10,0,,,
21/05/20,11,0,,,
22/05/20,7,0,,,
23/05/20,6,1,,,
24/05/20,4,0,,,
25/05/20,13,0,,,
26/05/20,6,0,,,
27/05/20,3,0,,,
28/05/20,7,0,,,
29/05/20,4,0,,,
30/05/20,3,0,,,
31/05/20,2,0,,,
01/06/20,0,0,,,
02/06/20,16,0,,,
03/06/20,5,0,,,
04/06/20,2,0,,,
05/06/20,3,0,,,
06/06/20,1,0,,,
07/06/20,0,1,,,
08/06/20,5,0,,,
09/06/20,12,0,,,
10/06/20,5,0,,,
11/06/20,8,1,,,
12/06/20,12,0,,,
13/06/20,15,0,,,
