data,novos_casos,novos_obitos,novos_testes,casos_acumulados,obitos_acumulados
16/04/20,1,0,,,
17/04/20,0,0,,,
18/04/20,0,0,,,
19/04/20,0,0,,,
20/04/20,4,0,,,
21/04/20,0,0,,,
22/04/20,2,0,,,
23/04/20,7,0,,,
24/04/20,1,0,,,
25/04/20,0,0,,,
26/04/20,3,0,,,
27/04/20,1,0,,,
28/04/20,4,0,,,
29/04/20,3,0,,,
30/04/20,1,0,,,
01/05/20,1,0,,,
02/05/20,0,0,,,
03/05/20,1,0,,,
04/05/20,0,0,,,
05/05/20,1,0,,,
06/05/20,0,0,,,
07/05/20,0,0,,,
08/05/20,0,0,,,
09/05/20,0,0,,,
10/05/20,0,0,,,
11/05/20,0,0,,,
12/05/20,0,0,,,
13/05/20,0,0,,,
14/05/20,0,0,,,
15/05/20,2,0,,,
16/05/20,2,0,,,
17/05/20,1,0,,,
18/05/20,1,0,,,
19/05/20,2,0,,,
20/05/20,0,0,,,
21/05/20,1,0,,,
22/05/20,0,0,,,
23/05/20,1,0,,,
24/05/20,1,0,,,
25/05/20,2,0,,,
26/05/20,6,0,,,
27/05/20,1,0,,,
28/05/20,5,0,,,
29/05/20,0,0,,,
30/05/20,0,0,,,
31/05/20,4,1,,,
01/06/20,2,0,,,
02/06/20,3,1,,,
03/06/20,1,0,,,
04/06/20,1,0,,,
05/06/20,1,0,,,
06/06/20,0,0,,,
07/06/20,0,0,,,
08/06/20,1,0,,,
09/06/20,1,0,,,
10/06/20,4,0,,,
11/06/20,1,0,,,
